"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
92,11,10,27,9,0,4,3.60616187656386,431.680761160701,28.5167558986777,40,3,0,0,0,0,0,0,0,0,59.3893580394459,59.3893580394459,10.81761501086,10.81761501086
93,11,10,30,7,0,3,2.77674464495418,434.457505805655,24.7643998976543,38,5,0,0,0,0,0,0,0,0,59.3893580394459,59.3893580394459,10.9268838493536,10.9268838493536
94,11,10,34,6,0,0,2.35626617014683,436.813771975802,21.9842423208629,30,8,0,6,0,0,3,3,1.17813308507341,1.17813308507341,60.5674911245193,60.5674911245193,11.0372564134884,11.0372564134884
95,11,10,27,9,0,4,3.49905526266804,440.31282723847,22.206305374609,40,3,0,0,0,0,0,0,0,0,60.5674911245193,60.5674911245193,8.1184408217055,8.1184408217055
96,11,10,30,7,0,3,2.69427255225439,443.007099790725,18.3902074491,38,5,0,0,0,0,0,0,0,0,60.5674911245193,60.5674911245193,8.20044527445,8.20044527445
97,11,10,34,6,0,0,2.2862827086273,445.293382499352,15.54566409,30,8,0,6,0,0,3,3,1.14314135431365,1.14314135431365,61.710632478833,61.710632478833,8.283278055,8.283278055
98,11,10,27,9,0,4,3.39512982231154,448.688512321663,15.702691,40,3,0,0,0,0,0,0,0,0,61.710632478833,61.710632478833,5.3366445,5.3366445
99,11,10,30,7,0,3,2.61424996317988,451.302762284843,11.8209,38,5,0,0,0,0,0,0,0,0,61.710632478833,61.710632478833,5.39055,5.39055
100,11,10,34,6,0,0,2.21837782589836,453.521140110742,8.91,30,8,0,0,0,0,0,0,0,0,61.710632478833,61.710632478833,5.445,5.445
101,11,10,27,9,0,9,3.29429107145906,456.815431182201,9,21,11,0,11,0,0,11,11,2.01317787700276,2.01317787700276,63.7238103558358,63.7238103558358,5.5,5.5
